created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Mar 26 10:41:58 +0000 2024;1772574711509360839;"SO HAPPY, AKHIRNYA GA SIA2 SELAMA INI NANGIS😭😭 #snbp2024 https://t.co/HMfSEPpd1v";0;1;0;1;in;1752714957245005824;1772574711509360839;hvnprottstry;https://twitter.com/hvnprottstry/status/1772574711509360839
Tue Mar 26 10:38:14 +0000 2024;1772573769170551127;"Ternyata sesakit itu kah warna merah❤ Emang bener si jalur di luar nalar Tapi harus tetap fighting Bisa kah???... Pen nyerah gilaa💔 Huh.... Yang pada biru selamat yaa💙 #snbp2024 #SNBP #snbt #jalurghaib #fighting #semangat https://t.co/KbSxEAZBIQ";0;1;0;1;in;1268741254294069249;1772573769170551127;chxairaa;https://twitter.com/chxairaa/status/1772573769170551127
Tue Mar 26 10:34:31 +0000 2024;1772572835317252252;"YEAY ALHAMDULILLAH jadi dipo muda!!!! letsgaurrr ilpus undip💙 #snbp2024 https://t.co/UiyCGhpzqx";0;37;15;515;in;1462016845683171329;1772572835317252252;alexxxxsha;https://twitter.com/alexxxxsha/status/1772572835317252252
Tue Mar 26 10:34:23 +0000 2024;1772572803784724710;"SELAMATT JADI DIPO MUDAAAA!!! 🥹 nanti kita menggila bersama di teksip yh 🥲💔 #snbp2024 https://t.co/NAercFVtIF";0;0;0;3;in;1668594598313332737;1772572803784724710;rubjanebyy_;https://twitter.com/rubjanebyy_/status/1772572803784724710
Tue Mar 26 10:33:50 +0000 2024;1772572664072466597;"alhamdulilah #snbp2024 #ugm2024 https://t.co/bsMTbvPpH9";3;73;15;389;in;1314854438675214338;1772572664072466597;splingnt;https://twitter.com/splingnt/status/1772572664072466597
Tue Mar 26 10:33:09 +0000 2024;1772572493011902581;"SENENG BGT DEHH BERANDA AKU SEMUANYA BIRU BIRUUU 💙💙💙  #snbp2024";0;0;0;1;in;1545213683386552320;1772572493011902581;writeyrs;https://twitter.com/writeyrs/status/1772572493011902581
Tue Mar 26 10:33:04 +0000 2024;1772572470786331055;"Sedihhh, tapi alhamdulillah ga sedih sedih banget. Percaya yaaa yang udah Allah atur hasilnya bakalan lebih baik🙏 #snbp2024 #merah https://t.co/z8hs2X1RAj";0;0;0;0;in;1266923008087609347;1772572470786331055;winalestariii17;https://twitter.com/winalestariii17/status/1772572470786331055
Tue Mar 26 10:31:47 +0000 2024;1772572148940280243;"siapa yang keterima fbs unj weh sini mutualan sama gw, biar gw ada temen ya 😭 #snbp2024 #unj";0;0;0;0;in;1756186348640501760;1772572148940280243;horanghoshh__;https://twitter.com/horanghoshh__/status/1772572148940280243
Tue Mar 26 10:30:00 +0000 2024;1772571698438770807;"Ini dia cara cek kelulusan SNBP 2024 dan persentase kelulusan SNBP 2024! #ThePhraseID #snbp2024 #snbp #lulusSNBP2024  https://t.co/5kkcNj9lyT";0;0;0;0;in;1385513704322600961;1772571698438770807;ThePhraseID;https://twitter.com/ThePhraseID/status/1772571698438770807
Tue Mar 26 10:28:59 +0000 2024;1772571442569253233;"alhamdulillah jadi maba ub😍😍 #snbp2024 https://t.co/ZgCgYrbAD6";0;6;2;13;in;1491340138252681216;1772571442569253233;jejenomine;https://twitter.com/jejenomine/status/1772571442569253233
